ORIG_COD_ZONA,ORIG_DEN_ZONA,DEST_COD_ZONA,DEST_DEN_ZONA,TIPO_Viaggio,FASCIA_ORARIA_VIAGGIO,REGIME,MEZZO_Codice,MEZZO_aggregato,NumViaggi
7,PEGLI,9,SESTRI,Interno,0,1,8,AUTOCARRO,8.111
7,PEGLI,9,SESTRI,Interno,3,1,7,ALTRO MEZZO,9.792
7,PEGLI,10,S.GIOVANNI BATTISTA,Interno,3,1,8,AUTOCARRO,9.792
7,PEGLI,11,CALCINARA,Interno,2,1,8,AUTOCARRO,8.143
7,PEGLI,11,CALCINARA,Interno,3,1,8,AUTOCARRO,8.143
7,PEGLI,13,BORZOLI EST,Interno,3,1,7,ALTRO MEZZO,7
7,PEGLI,14,CERTOSA,Interno,2,1,7,ALTRO MEZZO,8.381
7,PEGLI,15,RIVAROLO,Interno,3,1,7,ALTRO MEZZO,8.833
7,PEGLI,15,RIVAROLO,Interno,3,1,8,AUTOCARRO,5.857
7,PEGLI,18,BOLZANETO,Interno,2,1,8,AUTOCARRO,9.792
7,PEGLI,19,MOREGO,Interno,2,1,8,AUTOCARRO,8.143
7,PEGLI,19,MOREGO,Interno,3,1,7,ALTRO MEZZO,9.792
7,PEGLI,19,MOREGO,Interno,3,1,8,AUTOCARRO,9.792
7,PEGLI,20,S.QUIRICO,Interno,1,1,7,ALTRO MEZZO,9.792
7,PEGLI,21,PONTEDECIMO,Interno,3,1,7,ALTRO MEZZO,4.483
7,PEGLI,22,CORNIGLIANO,Interno,1,2,9,AUTOARTICOLATO,7
7,PEGLI,23,CAMPI,Interno,3,1,7,ALTRO MEZZO,9.792
7,PEGLI,24,CAMPASSO,Interno,1,1,8,AUTOCARRO,8.143
7,PEGLI,26,SAMPIERDARENA,Interno,3,1,9,AUTOARTICOLATO,8.143
7,PEGLI,29,ANGELI,Interno,2,1,9,AUTOARTICOLATO,8.733
7,PEGLI,29,ANGELI,Interno,3,1,8,AUTOCARRO,8.143
7,PEGLI,32,OREGINA,Interno,3,1,7,ALTRO MEZZO,8
7,PEGLI,33,PRE',Interno,2,1,7,ALTRO MEZZO,9.735
7,PEGLI,33,PRE',Interno,3,1,8,AUTOCARRO,9.735
7,PEGLI,34,MADDALENA,Interno,2,1,7,ALTRO MEZZO,9.118
7,PEGLI,35,MOLO,Interno,2,1,9,AUTOARTICOLATO,7.826
7,PEGLI,35,MOLO,Interno,3,1,7,ALTRO MEZZO,9.792
7,PEGLI,37,CASTELLETTO,Interno,2,1,8,AUTOCARRO,9.111
7,PEGLI,38,MANIN,Interno,3,1,8,AUTOCARRO,9.792
7,PEGLI,39,S.VINCENZO,Interno,0,1,7,ALTRO MEZZO,9.792
7,PEGLI,39,S.VINCENZO,Interno,3,1,7,ALTRO MEZZO,9.792
7,PEGLI,39,S.VINCENZO,Interno,3,1,8,AUTOCARRO,9.792
7,PEGLI,40,CARIGNANO,Interno,3,1,7,ALTRO MEZZO,9.792
7,PEGLI,41,FOCE,Interno,0,1,8,AUTOCARRO,8.143
7,PEGLI,41,FOCE,Interno,1,1,8,AUTOCARRO,8.143
7,PEGLI,42,BRIGNOLE,Interno,1,2,10,AUTOTRENO,7
7,PEGLI,42,BRIGNOLE,Interno,3,1,8,AUTOCARRO,16.722
7,PEGLI,44,S.FRUTTUOSO,Interno,0,1,7,ALTRO MEZZO,8.788
7,PEGLI,44,S.FRUTTUOSO,Interno,0,1,8,AUTOCARRO,8.788
7,PEGLI,46,FEREGGIANO,Interno,3,1,7,ALTRO MEZZO,9.792
7,PEGLI,50,S.PANTALEO,Interno,1,1,10,AUTOTRENO,8.143
7,PEGLI,52,S.EUSEBIO,Interno,3,1,7,ALTRO MEZZO,9.792
7,PEGLI,53,MOLASSANA,Interno,0,1,8,AUTOCARRO,8.438
7,PEGLI,55,PRATO,Interno,3,2,8,AUTOCARRO,8
7,PEGLI,60,CHIAPPETO,Interno,3,1,7,ALTRO MEZZO,9.667
7,PEGLI,62,ALBARO,Interno,0,1,8,AUTOCARRO,3.833
7,PEGLI,69,CASTAGNA,Interno,1,1,7,ALTRO MEZZO,9.792
7,PEGLI,70,QUINTO,Interno,3,1,7,ALTRO MEZZO,9.792
7,PEGLI,71,NERVI,Interno,0,1,8,AUTOCARRO,8.44
7,PEGLI,71,NERVI,Interno,3,1,8,AUTOCARRO,7.286
