ORIG_COD_ZONA,ORIG_DEN_ZONA,DEST_COD_ZONA,DEST_DEN_ZONA,TIPO_VIAGGIO,FASCIA_ORARIA_VIAGGIO,MOTIVO_codice,MOTIVO_aggregato,MOTIVO_sistematicità,MEZZO_codice,MEZZO_aggregato,NumViaggi
1,CREVARI,1,CREVARI,Interno,0,3,Acquisti,Occasionale,4,MOTO,9.6
1,CREVARI,1,CREVARI,Interno,0,3,Acquisti,Occasionale,7,AUTO,9.6
1,CREVARI,1,CREVARI,Interno,0,3,Acquisti,Occasionale,10,PIEDI,76.8
1,CREVARI,1,CREVARI,Interno,0,3,Acquisti,Occasionale,17,TPL GOMMA,9.6
1,CREVARI,1,CREVARI,Interno,0,4,Servizi,Occasionale,10,PIEDI,9.6
1,CREVARI,1,CREVARI,Interno,0,5,Altro motivo occasionale,Occasionale,10,PIEDI,38.4
1,CREVARI,1,CREVARI,Interno,0,9,Ritorno a casa,Ritorno a casa,4,MOTO,19.2
1,CREVARI,1,CREVARI,Interno,0,9,Ritorno a casa,Ritorno a casa,7,AUTO,9.6
1,CREVARI,1,CREVARI,Interno,0,9,Ritorno a casa,Ritorno a casa,10,PIEDI,124.8
1,CREVARI,1,CREVARI,Interno,0,9,Ritorno a casa,Ritorno a casa,17,TPL GOMMA,28.8
1,CREVARI,1,CREVARI,Interno,0,10,Altro motivo occasionale,Occasionale,17,TPL GOMMA,9.6
1,CREVARI,1,CREVARI,Interno,1,1,Lavoro,Sistematico,4,MOTO,9.6
1,CREVARI,1,CREVARI,Interno,1,2,Affari,Sistematico,4,MOTO,9.6
1,CREVARI,1,CREVARI,Interno,1,2,Affari,Sistematico,10,PIEDI,9.6
1,CREVARI,1,CREVARI,Interno,1,5,Altro motivo occasionale,Occasionale,17,TPL GOMMA,9.6
1,CREVARI,1,CREVARI,Interno,2,9,Ritorno a casa,Ritorno a casa,4,MOTO,9.6
1,CREVARI,1,CREVARI,Interno,2,9,Ritorno a casa,Ritorno a casa,10,PIEDI,9.6
1,CREVARI,2,VOLTRI,Interno,0,3,Acquisti,Occasionale,17,TPL GOMMA,67.2
1,CREVARI,2,VOLTRI,Interno,0,4,Servizi,Occasionale,17,TPL GOMMA,9.6
1,CREVARI,2,VOLTRI,Interno,0,5,Altro motivo occasionale,Occasionale,10,PIEDI,76.8
1,CREVARI,2,VOLTRI,Interno,0,9,Ritorno a casa,Ritorno a casa,7,AUTO,111.3506494
1,CREVARI,2,VOLTRI,Interno,1,3,Acquisti,Occasionale,7,AUTO,115.2
1,CREVARI,2,VOLTRI,Interno,1,7,Studio,Sistematico,7,AUTO,76.8
1,CREVARI,4,PALMARO,Interno,2,9,Ritorno a casa,Ritorno a casa,7,AUTO,36.16
1,CREVARI,5,PRA',Interno,0,9,Ritorno a casa,Ritorno a casa,1,MOTO,43.94952681
1,CREVARI,5,PRA',Interno,2,9,Ritorno a casa,Ritorno a casa,1,MOTO,43.94952681
1,CREVARI,5,PRA',Interno,2,9,Ritorno a casa,Ritorno a casa,17,TPL GOMMA,21.97476341
1,CREVARI,7,PEGLI,Interno,2,9,Ritorno a casa,Ritorno a casa,17,TPL GOMMA,19.95438175
1,CREVARI,12,BORZOLI OVEST,Interno,0,9,Ritorno a casa,Ritorno a casa,7,AUTO,15.00729927
1,CREVARI,30,S.TEODORO,Interno,0,3,Acquisti,Occasionale,7,AUTO,19.2
1,CREVARI,33,PRE',Interno,0,5,Altro motivo occasionale,Occasionale,10,PIEDI,9.6
1,CREVARI,33,PRE',Interno,1,2,Affari,Sistematico,17,TPL GOMMA,9.6
1,CREVARI,33,PRE',Interno,1,8,Cure,Occasionale,17,TPL GOMMA,9.6
1,CREVARI,35,MOLO,Interno,0,3,Acquisti,Occasionale,4,MOTO,9.6
1,CREVARI,35,MOLO,Interno,2,5,Altro motivo occasionale,Occasionale,7,AUTO,76.8
1,CREVARI,37,CASTELLETTO,Interno,0,9,Ritorno a casa,Ritorno a casa,19,Altro,9.820069204
1,CREVARI,39,S.VINCENZO,Interno,0,3,Acquisti,Occasionale,7,AUTO,9.6
1,CREVARI,39,S.VINCENZO,Interno,0,4,Servizi,Occasionale,7,AUTO,9.6
1,CREVARI,39,S.VINCENZO,Interno,0,4,Servizi,Occasionale,17,TPL GOMMA,19.2
1,CREVARI,39,S.VINCENZO,Interno,0,5,Altro motivo occasionale,Occasionale,17,TPL GOMMA,19.2
1,CREVARI,39,S.VINCENZO,Interno,1,1,Lavoro,Sistematico,4,MOTO,9.6
1,CREVARI,39,S.VINCENZO,Interno,1,1,Lavoro,Sistematico,7,AUTO,76.8
1,CREVARI,40,CARIGNANO,Interno,1,8,Cure,Occasionale,19,Altro,38.4
1,CREVARI,46,FEREGGIANO,Interno,0,5,Altro motivo occasionale,Occasionale,10,PIEDI,9.6
